Musei di competenza di Roma Capitale;;;;;
Anno 2011;;;;;
;;;;;
Denominazione;Tipologia;Indirizzo;Orario;Giorni chiusura;Sito web
Museo dell'Ara pacis;Archeologico;Lungotevere in Augusta snc;"Martedì-domenica 9.00-19.00; 24 e 31 dicembre 9.00-14.00 (la biglietteria chiude un'ora prima)";Lunedì, 1 gennaio, 1 maggio e 25 dicembre ;www.arapacis.it
Museo di Scultura antica Giovanni Barracco;Archeologico;Corso Vittorio Emanuele, 166/A ;"Martedì-domenica 9.00-19.00; 24 e 31 dicembre 9.00-14.00 (la biglietteria chiude mezz'ora prima)";Lunedì, 1 gennaio, 1 maggio e 25 dicembre;www.museobarracco.it
Museo Carlo Bilotti;Contemporaneo;Viale Fiorello La Guardia snc;"Martedì-domenica 9.00-19.00; 24 e 31 dicembre 9.00-14.00 (la biglietteria chiude mezz'ora prima)";Lunedì, 1 gennaio, 1 maggio e 25 dicembre ;www.museocarlobilotti.it
Museo di Roma;Moderno;Piazza San Pantaleo,  10 ;Martedì-domenica 9.00-19.00, 24 e 31 dicembre 9.00-14.00 (la biglietteria chiude un'ora prima);Lunedì, 1 gennaio, 1 maggio e 25 dicembre ;www.museodiroma.it
Musei Capitolini;Archeologico - Moderno;Piazza del Campidoglio, 1;"Martedì-domenica 9.00-20.00; 24 e 31 dicembre 9.00-14.00 (la biglietteria chiude un'ora prima)";Lunedì, 25 dicembre, 1 gennaio, 1 maggio ;www.museicapitolini.org
Museo della Civilta' Romana;Archeologico;Piazza G. Agnelli, 10;"Martedì-sabato 9.00-14.00; domenica e festivi 9.00-13.30 (la biglietteria chiude un'ora prima).";Lunedì, 1 gennaio, 1 Maggio, 25 Dicembre;Nessun sito web
Museo Civico di zoologia;Scientifico;Via Ulisse Aldrovandi, 18;Ore 9.00 - 19.00;Lunedì;www.museodizoologia.it
Macro  ;Contemporaneo;Via Reggio Emilia, 54 ;"Martedì-domenica 9.00-19.00; 24 e 31 dicembre 9.00-14.00 (la biglietteria chiude mezz'ora prima)";Lunedì, 1 gennaio, 1 maggio, 25 dicembre ;www.macro.roma.museum
Macro Testaccio;Contemporaneo;Piazza Orazio Giustiniani, 4 ;Martedì-domenica ore 16.00-24.00 (la biglietteria chiude 30 minuti prima). Aperto solo in caso di mostre;Lunedì, 1 gennaio, 1 maggio, 24, 25 e 31 dicembre ;www.macro.roma.museum
Mercati di Traiano - Museo dei Fori Imperiali;Archeologico;Via IV Novembre, 94;Martedì - domenica 9.00-19.00 (la biglietteria chiude un'ora prima), 24 dicembre e 31 dicembre 9.00 - 14.00;Lunedì, 1 gennaio, 1 Maggio, 25 Dicembre ;www.mercatiditraiano.it
